order_id,product_id,add_to_cart_order,reordered
965,26620,1,0
965,13176,2,1
965,7781,3,0
965,21137,4,1
965,19348,5,1
965,41844,6,0
965,47626,7,1
965,34969,8,1
965,38988,9,1
965,42265,10,1
965,30489,11,0
965,15592,12,0
965,20345,13,0
1016,38152,1,1
1016,12916,2,1
1016,36126,3,1
1016,32175,4,1
1697,33367,1,0
1697,44987,2,0
1697,47766,3,1
1697,49235,4,1
1697,2770,5,1
1697,8192,6,0
1697,17795,7,1
1697,16462,8,1
1697,39984,9,0
1697,47526,10,0
1697,28993,11,1
1697,32689,12,0
1697,9499,13,0
1697,2078,14,1
1697,38383,15,0
1697,17804,16,0
1697,49401,17,0
1697,16609,18,0
1785,27845,1,1
1785,42701,2,0
1785,4712,3,0
1785,21137,4,1
1785,43122,5,1
1785,25340,6,1
1785,33043,7,0
1785,38231,8,0
2363,47144,1,1
2363,7419,2,1
2363,44893,3,1
2363,1168,4,1
2363,21777,5,1
2363,47519,6,1
2363,38944,7,0
2363,36070,8,1
2363,2079,9,1
2363,4461,10,1
2363,18792,11,1
2363,42585,12,0
2363,19538,13,0
2363,32689,14,0
2363,17634,15,1
2363,28571,16,0
2363,39485,17,0
2363,24852,18,1
2363,5750,19,0
2363,1529,20,1
2363,30391,21,1
2363,3550,22,0
2363,7548,23,0
2363,35042,24,0
2363,39993,25,0
2363,31506,26,0
2363,30021,27,0
2363,21372,28,0
2363,26113,29,1
2363,10897,30,0
2616,43122,1,0
2616,13517,2,1
2616,44533,3,0
2616,42450,4,1
2616,13176,5,1
2616,29447,6,1
2616,35233,7,1
2942,20367,1,1
2942,27845,2,0
2942,6046,3,1
2942,31471,4,0
2951,31486,1,0
2951,20632,2,1
2951,15613,3,1
2951,13176,4,1
2951,19057,5,1
2951,33195,6,1
2951,38039,7,1
2951,5876,8,1
3109,6184,1,1
3109,10326,2,1
3109,13176,3,1
3109,43352,4,1
3109,31651,5,1
3144,15290,1,1
3144,37586,2,0
3144,24852,3,1
3144,14403,4,1
3144,11777,5,1
3144,2611,6,1
3144,9838,7,1
3144,10729,8,1
3144,33973,9,1
3144,18531,10,1
3144,33572,11,1
3144,33129,12,1
3144,16797,13,1
3278,13176,1,1
3278,49235,2,1
3278,31288,3,1
3278,38777,4,1
3278,27966,5,1
3278,25527,6,1
3278,17553,7,1
3278,3952,8,1
3278,3298,9,1
3278,47993,10,1
3278,44910,11,1
3278,38558,12,1
3278,4799,13,1
3278,19048,14,0
3294,5120,1,1
3294,16613,2,1
3294,13176,3,1
3294,18908,4,1
3342,13712,1,1
3342,35127,2,1
3342,21903,3,1
3342,35951,4,1
3342,33410,5,1
3342,7734,6,1
3342,7388,7,1
3342,25466,8,0
3342,12075,9,0
3534,8197,1,0
3534,18908,2,1
3534,44354,3,0
3534,21938,4,1
3534,33731,5,1
3534,40174,6,1
3932,5161,1,1
3932,43080,2,1
3932,44979,3,1
3932,29926,4,1
3932,34844,5,1
3932,21614,6,1
3932,37492,7,1
