order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3412510,427,prior,1,1,18,
425731,427,prior,2,0,21,30.0
37156,427,prior,3,4,1,18.0
2476116,427,prior,4,6,12,16.0
1222893,427,prior,5,3,11,30.0
1186632,427,prior,6,3,11,0.0
446374,427,prior,7,2,13,30.0
241322,427,prior,8,2,22,14.0
65467,427,test,9,1,10,30.0
3367859,813,prior,1,5,9,
796116,813,prior,2,3,7,19.0
2489276,813,prior,3,4,10,30.0
2005174,813,prior,4,2,8,26.0
2028205,813,prior,5,5,12,30.0
1287397,813,test,6,4,14,30.0
2557057,892,prior,1,5,19,
2881990,892,prior,2,2,14,4.0
3357989,892,prior,3,6,20,4.0
2154075,892,prior,4,6,12,7.0
1678707,892,prior,5,1,21,2.0
1967502,892,prior,6,0,21,6.0
1241093,892,prior,7,3,12,3.0
1331214,892,prior,8,1,15,5.0
2045477,892,prior,9,6,14,5.0
6892,892,prior,10,6,22,7.0
1376997,892,prior,11,4,15,19.0
2927525,892,prior,12,6,23,9.0
3271309,892,train,13,4,14,12.0
2886899,1048,prior,1,1,21,
1591407,1048,prior,2,1,15,7.0
1700906,1048,prior,3,4,12,10.0
2216237,1048,train,4,1,12,25.0
1592748,1463,prior,1,6,17,
426142,1463,prior,2,0,19,8.0
3166523,1463,prior,3,3,10,30.0
1301805,1463,prior,4,6,11,24.0
981271,1463,prior,5,0,10,8.0
1619722,1463,prior,6,1,11,30.0
1200207,1463,test,7,2,17,8.0
3290913,1662,prior,1,5,15,
1902578,1662,prior,2,0,19,16.0
1128419,1662,prior,3,5,8,5.0
2378229,1662,prior,4,4,15,13.0
563590,1662,prior,5,2,17,19.0
3115276,1662,prior,6,3,17,15.0
1787446,1662,prior,7,0,19,4.0
3121377,1662,prior,8,2,16,23.0
2989717,1662,prior,9,1,14,27.0
76113,1662,train,10,1,11,21.0
3116736,1849,prior,1,0,17,
2590034,1849,prior,2,0,18,30.0
2737565,1849,prior,3,0,18,30.0
3138951,1849,prior,4,5,16,30.0
2967104,1849,prior,5,1,11,10.0
2627176,1849,prior,6,6,12,26.0
919972,1849,prior,7,2,15,17.0
628652,1849,train,8,3,16,22.0
2719127,2094,prior,1,2,16,
3380390,2094,prior,2,3,11,8.0
1439271,2094,prior,3,0,12,11.0
836356,2094,prior,4,4,9,18.0
3317502,2094,prior,5,5,16,1.0
2252715,2094,prior,6,0,11,16.0
860966,2094,prior,7,5,18,5.0
1485742,2094,prior,8,0,15,2.0
551479,2094,prior,9,4,20,4.0
1134506,2094,prior,10,3,11,6.0
1769869,2094,prior,11,5,10,9.0
591975,2094,prior,12,6,19,1.0
1088927,2094,prior,13,6,10,7.0
169818,2094,prior,14,2,11,3.0
2042637,2094,prior,15,5,16,3.0
772362,2094,prior,16,1,10,3.0
1818195,2094,prior,17,2,11,1.0
2064975,2094,prior,18,0,11,5.0
2532453,2094,prior,19,1,16,1.0
2066663,2094,prior,20,0,15,6.0
575271,2094,prior,21,2,11,2.0
2560031,2094,prior,22,5,14,3.0
3300438,2094,prior,23,1,14,10.0
2551952,2094,prior,24,0,14,13.0
1547468,2094,prior,25,0,18,7.0
804673,2094,prior,26,3,11,3.0
401740,2094,prior,27,5,19,2.0
1850934,2094,prior,28,1,15,3.0
1378954,2094,prior,29,5,12,4.0
2352041,2094,prior,30,0,9,2.0
812645,2094,prior,31,0,11,7.0
1488411,2094,prior,32,6,9,6.0
1006716,2094,prior,33,4,14,12.0
2882628,2094,prior,34,6,10,2.0
1085088,2094,prior,35,1,15,2.0
1499450,2094,prior,36,1,13,7.0
1571267,2094,prior,37,4,14,3.0
1080939,2094,prior,38,0,12,10.0
2505159,2094,prior,39,2,13,2.0
2921266,2094,prior,40,0,17,5.0
2049845,2094,prior,41,4,9,4.0
1980767,2094,prior,42,3,17,6.0
125515,2094,prior,43,5,15,2.0
294964,2094,prior,44,6,18,1.0
837244,2094,prior,45,6,9,7.0
1908520,2094,prior,46,6,10,7.0
1719901,2094,prior,47,0,13,1.0
2891233,2094,prior,48,3,11,3.0
2373769,2094,prior,49,0,11,4.0
1563800,2094,prior,50,1,19,1.0
2705423,2094,prior,51,3,9,9.0
1404627,2094,prior,52,4,16,8.0
909934,2094,prior,53,6,14,2.0
1866924,2094,prior,54,2,19,10.0
2959147,2094,prior,55,4,11,9.0
2023932,2094,prior,56,5,15,1.0
2845919,2094,prior,57,2,16,11.0
1850739,2094,prior,58,3,15,1.0
2745489,2094,prior,59,2,15,6.0
1400499,2094,prior,60,0,12,5.0
749251,2094,prior,61,2,14,2.0
1572958,2094,prior,62,6,9,4.0
1236009,2094,prior,63,4,9,5.0
3220217,2094,prior,64,6,16,2.0
2211212,2094,prior,65,5,17,6.0
2774152,2094,prior,66,6,9,1.0
230316,2094,prior,67,0,9,1.0
2800632,2094,prior,68,2,13,9.0
118337,2094,prior,69,4,8,2.0
1432960,2094,prior,70,5,12,8.0
1938712,2094,prior,71,2,16,4.0
1769739,2094,train,72,0,13,5.0
1040451,2142,prior,1,1,9,
2296925,2142,prior,2,5,8,4.0
3260712,2142,prior,3,5,16,7.0
1763527,2142,prior,4,2,10,11.0
3250451,2142,prior,5,5,12,3.0
1173292,2142,prior,6,5,12,7.0
2300578,2142,prior,7,1,13,10.0
1222399,2142,prior,8,5,15,4.0
1895936,2142,prior,9,5,14,7.0
3035123,2142,prior,10,5,10,7.0
3018647,2142,prior,11,5,16,7.0
699382,2142,prior,12,5,15,7.0
1905258,2142,prior,13,3,16,5.0
2117142,2142,test,14,5,14,9.0
112740,2312,prior,1,3,9,
2032401,2312,prior,2,4,9,30.0
999801,2312,prior,3,1,10,30.0
506649,2312,prior,4,4,16,10.0
490653,2312,prior,5,2,12,19.0
2201743,2312,prior,6,3,10,22.0
561285,2312,prior,7,4,11,15.0
1013916,2312,prior,8,3,10,20.0
1312655,2312,prior,9,3,12,7.0
2900546,2312,prior,10,5,13,23.0
2958286,2312,prior,11,1,9,3.0
3092768,2312,prior,12,4,9,30.0
1793402,2312,prior,13,2,13,12.0
984933,2312,prior,14,2,10,14.0
1806899,2312,prior,15,5,9,3.0
3097194,2312,prior,16,2,9,25.0
1427645,2312,prior,17,4,13,2.0
1105120,2312,prior,18,1,14,11.0
20611,2312,prior,19,5,12,11.0
2081832,2312,prior,20,5,10,7.0
2001237,2312,train,21,3,12,19.0
1261598,2315,prior,1,6,9,
1678409,2315,prior,2,5,8,27.0
3392101,2315,prior,3,5,19,21.0
74269,2315,prior,4,2,13,25.0
1451524,2315,prior,5,6,10,18.0
116466,2315,prior,6,4,19,26.0
569325,2315,prior,7,3,18,30.0
33271,2315,prior,8,3,7,28.0
1344589,2315,prior,9,5,5,9.0
280037,2315,train,10,3,9,19.0
533485,2350,prior,1,0,18,
2793432,2350,prior,2,5,19,30.0
2043199,2350,prior,3,1,14,3.0
3220426,2350,prior,4,6,15,12.0
3075598,2350,prior,5,5,19,13.0
3109265,2350,prior,6,0,18,2.0
2246895,2350,prior,7,5,19,5.0
3073621,2350,prior,8,6,17,1.0
2284429,2350,prior,9,0,18,1.0
2830133,2350,prior,10,4,14,11.0
3063958,2350,prior,11,6,17,9.0
1712548,2350,prior,12,3,18,4.0
379474,2350,prior,13,5,17,9.0
3226130,2350,prior,14,6,15,8.0
1243738,2350,prior,15,0,11,8.0
3373733,2350,prior,16,0,19,7.0
975484,2350,prior,17,6,21,6.0
1257497,2350,prior,18,6,13,7.0
1126255,2350,prior,19,5,15,20.0
1368785,2350,prior,20,5,19,7.0
1033626,2350,prior,21,5,19,0.0
175768,2350,prior,22,3,16,5.0
501902,2350,prior,23,4,18,8.0
2474405,2350,prior,24,1,10,11.0
1822170,2350,train,25,4,14,10.0
247226,2450,prior,1,2,2,
2217158,2450,prior,2,5,8,10.0
1912733,2450,prior,3,2,22,30.0
615474,2450,prior,4,3,12,30.0
1719730,2450,prior,5,0,11,4.0
61298,2450,prior,6,3,23,30.0
3249910,2450,prior,7,1,15,30.0
745068,2450,prior,8,5,8,11.0
1026772,2450,prior,9,0,13,9.0
1920440,2450,prior,10,2,20,16.0
248254,2450,prior,11,2,11,21.0
3143337,2450,train,12,3,8,22.0
3002591,2740,prior,1,3,17,
118399,2740,prior,2,0,15,4.0
91403,2740,prior,3,0,18,14.0
3420060,2740,prior,4,3,20,10.0
2790408,2740,prior,5,0,16,11.0
3211914,2740,prior,6,1,16,30.0
2232054,2740,prior,7,4,20,30.0
2109380,2740,prior,8,0,19,3.0
1974951,2740,prior,9,5,18,12.0
2481876,2740,prior,10,1,13,10.0
1554658,2740,prior,11,6,11,19.0
282307,2740,prior,12,1,8,9.0
373822,2740,prior,13,0,12,27.0
147454,2740,prior,14,0,14,14.0
3315433,2740,test,15,6,12,13.0
367274,2745,prior,1,1,13,
2537351,2745,prior,2,1,9,14.0
3192807,2745,prior,3,4,11,10.0
1630206,2745,prior,4,1,9,11.0
2761294,2745,prior,5,3,10,9.0
1544940,2745,prior,6,1,13,5.0
3417534,2745,prior,7,1,16,14.0
2719510,2745,prior,8,1,11,14.0
433179,2745,prior,9,1,15,14.0
2423991,2745,prior,10,2,15,15.0
2255455,2745,prior,11,3,13,8.0
3149617,2745,prior,12,3,13,7.0
2703783,2745,train,13,2,17,6.0
3279895,2771,prior,1,6,21,
2651501,2771,prior,2,0,11,8.0
345564,2771,prior,3,6,10,30.0
3162605,2771,prior,4,6,18,7.0
2835551,2771,prior,5,6,17,7.0
578757,2771,prior,6,6,22,14.0
2154030,2771,prior,7,6,21,21.0
1570717,2771,prior,8,6,15,14.0
2973068,2771,prior,9,6,14,7.0
2446736,2771,prior,10,6,15,28.0
2923106,2771,prior,11,6,20,14.0
607901,2771,prior,12,4,14,5.0
363652,2771,prior,13,5,22,8.0
331877,2771,prior,14,5,21,7.0
680127,2771,prior,15,5,20,7.0
817885,2771,prior,16,6,9,8.0
1641974,2771,prior,17,6,12,14.0
2534043,2771,test,18,6,12,30.0
3080182,3097,prior,1,0,11,
1823932,3097,prior,2,0,12,7.0
715573,3097,prior,3,0,11,7.0
975096,3097,prior,4,0,13,7.0
1507361,3097,prior,5,0,14,7.0
2458782,3097,prior,6,0,11,30.0
1628555,3097,prior,7,1,12,8.0
1556553,3097,prior,8,0,12,6.0
824739,3097,prior,9,0,13,7.0
2887319,3097,prior,10,1,13,8.0
2736169,3097,prior,11,0,12,13.0
1310546,3097,prior,12,1,18,15.0
3412739,3097,prior,13,1,11,7.0
2795241,3097,prior,14,0,12,6.0
1576236,3097,prior,15,0,14,7.0
1743117,3097,prior,16,1,15,8.0
2015500,3097,prior,17,1,7,7.0
279009,3097,prior,18,4,13,30.0
1852642,3097,prior,19,0,16,10.0
2160397,3097,prior,20,1,13,8.0
1009615,3097,prior,21,0,12,6.0
1996095,3097,prior,22,0,15,7.0
32212,3097,prior,23,0,11,7.0
2429628,3097,prior,24,0,10,7.0
142454,3097,prior,25,0,13,7.0
97644,3097,prior,26,0,11,7.0
223771,3097,prior,27,0,14,7.0
546145,3097,prior,28,3,16,17.0
204107,3097,prior,29,0,11,4.0
192419,3097,prior,30,0,13,7.0
3133769,3097,prior,31,0,11,7.0
3089401,3097,train,32,0,12,7.0
1777962,3469,prior,1,5,14,
2944528,3469,prior,2,1,13,3.0
2620989,3469,prior,3,6,15,30.0
2879905,3469,prior,4,6,17,30.0
2483500,3469,prior,5,0,13,30.0
77055,3469,prior,6,6,14,30.0
2210570,3469,train,7,3,14,18.0
2570037,3497,prior,1,6,8,
1354803,3497,prior,2,3,7,11.0
2034136,3497,prior,3,2,13,6.0
2285472,3497,prior,4,5,9,10.0
1514572,3497,prior,5,4,6,13.0
2571226,3497,prior,6,2,8,5.0
2915664,3497,prior,7,1,21,13.0
1959168,3497,prior,8,5,6,11.0
1046353,3497,prior,9,2,7,11.0
2112449,3497,prior,10,4,8,9.0
2609908,3497,prior,11,4,7,7.0
828437,3497,prior,12,4,9,14.0
1335894,3497,prior,13,0,7,10.0
1971172,3497,prior,14,1,19,30.0
3073023,3497,prior,15,2,8,8.0
