,user_id,merchant_id,age_range,gender,item_id,cat_id,brand_id,action_type,label
783821,213820,2066,2,0,5,6,7,0,0
2312032,195,2286,5,0,16,8,5,1,1
1212645,318509,4143,6,0,8,6,11,0,0
1969346,323850,361,6,0,6,0,13,0,1
1986660,380935,3191,3,0,4,8,12,0,1
1917943,244850,1512,4,1,4,0,3,2,1
367922,50511,4426,5,0,16,3,16,0,0
592800,338383,1472,5,0,13,2,6,0,0
836152,200794,3734,3,0,7,6,5,0,0
2216854,68225,3323,5,1,7,5,1,1,1
649623,85744,4287,4,0,17,7,15,0,1
2086102,220075,4760,3,1,1,5,0,0,1
1067130,150491,4267,4,0,19,2,14,0,0
1404770,413967,4173,5,0,4,6,13,0,1
1516870,406187,3154,2,0,4,1,11,0,1
1917311,265547,2873,0,0,15,2,1,0,1
2259996,151139,2954,6,0,16,4,4,0,1
2219453,48226,3578,5,0,1,6,7,0,1
1831269,74800,3734,3,0,10,5,5,0,1
1417468,282645,1013,0,0,13,3,5,0,1
1867154,420005,3091,7,0,1,3,16,2,1
1757265,127177,1892,3,0,17,2,15,0,1
633125,316903,2915,4,0,4,0,6,0,0
1634353,282645,1013,0,0,15,3,5,1,1
1975663,124267,4043,3,0,16,3,17,3,1
1590547,311931,1346,4,0,5,5,19,0,1
726176,38428,3159,0,0,14,0,18,0,0
1361088,290695,1713,4,0,7,7,14,0,1
150998,39894,4850,5,0,11,5,18,0,1
1545654,423120,3092,5,0,1,0,4,0,1
928961,185999,3828,3,0,2,6,3,0,1
2170921,392376,4847,0,0,5,9,10,0,1
341141,315456,412,3,1,10,6,10,0,0
2433956,116817,467,0,1,0,1,10,0,1
1178800,304922,4044,6,0,19,1,0,0,0
890078,244345,4926,3,0,18,0,16,3,0
1215833,114479,1305,0,0,9,7,12,2,0
1595656,107810,1721,5,0,7,3,16,1,1
208159,153078,2649,0,1,3,5,13,0,0
944511,307352,1557,4,0,2,2,2,0,1
278821,26652,1892,3,0,0,1,15,2,0
913645,259718,3205,5,1,14,6,5,0,0
1586940,57221,3576,2,0,2,6,13,1,1
